SeniorCitizen,tenure,MonthlyCharges,TotalCharges,TenureMonthlyRatio,AvgRevenuePerMonth,TotalServices,HighRiskCustomer,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes,tenure_group
0,1,29.85,29.85,0.03241491085899514,14.925,1,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
0,34,56.95,1889.5,0.5867126833477135,53.98571428571429,3,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,3
0,2,53.85,108.15,0.03646308113035551,36.050000000000004,3,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,1
0,45,42.3,1840.75,1.0392609699769053,40.016304347826086,3,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,3
0,2,70.7,151.65,0.02789400278940028,50.550000000000004,1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,1
0,8,99.65,820.5,0.07948335817188276,91.16666666666667,4,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,1
0,22,89.1,1949.4,0.24417314095449502,84.75652173913043,3,1,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,2
0,10,29.75,301.9,0.3252032520325203,27.44545454545454,1,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,28,104.8,3046.05,0.26465028355387527,105.03620689655173,5,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,3
0,62,56.15,3487.95,1.0848643919510061,55.364285714285714,3,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4
0,13,49.95,587.45,0.2551521099116781,41.96071428571429,2,1,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
0,16,18.95,326.8,0.8020050125313284,19.223529411764705,1,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,2
0,58,100.35,5681.1,0.5722742969906266,96.28983050847458,4,0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,4
0,49,103.7,5036.3,0.4680038204393505,100.726,5,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,4
0,25,105.5,2686.05,0.2347417840375587,103.3096153846154,6,1,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,3
0,69,113.25,7895.15,0.6039387308533917,112.78785714285713,7,0,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,4
0,52,20.65,1022.95,2.401847575057737,19.300943396226415,1,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,4
0,71,106.7,7382.25,0.659238625812442,102.53125,5,0,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,4
0,10,55.2,528.35,0.1779359430604982,48.03181818181818,3,0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,1
0,21,90.05,1862.9,0.23064250411861614,84.67727272727274,4,1,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,2
1,1,39.65,39.65,0.024600246002460024,19.825,2,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,1
0,12,19.8,202.25,0.5769230769230769,15.557692307692308,1,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1
0,1,20.15,20.15,0.047281323877068564,10.075,1,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,1
0,58,59.9,3505.1,0.9523809523809524,59.40847457627118,3,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,4
0,49,59.6,2970.3,0.8085808580858086,59.406000000000006,4,0,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4
0,30,55.3,1530.6,0.5328596802841918,49.37419354838709,3,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3
0,47,99.35,4749.15,0.4683607374190334,98.940625,4,1,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,3
0,1,30.2,30.2,0.032051282051282055,15.1,1,0,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1
0,72,90.25,6369.45,0.7890410958904109,87.2527397260274,7,0,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,4
0,17,64.7,1093.1,0.258751902587519,60.727777777777774,3,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,2
1,71,96.35,6766.95,0.7293271700051361,93.98541666666667,5,0,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,4
1,2,95.5,181.65,0.02072538860103627,60.550000000000004,4,1,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,1
0,27,66.15,1874.45,0.40208488458674607,66.94464285714285,5,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,3
