gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,tenure_group,TenureMonthlyRatio,AvgRevenuePerMonth,TotalServices,HighRiskCustomer,Gender_Label,Contract_Label,Internet_Service_Label,Payment_Method_Label,Churn_Status,Tenure_Group
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,14.925,1,0.0324149108589951,14.925,0,0,Female,Month-to-month,DSL,Electronic check,Stayed,0-6 Months (High Risk)
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,53.98571428571429,3,0.5867126833477135,53.98571428571429,0,0,Male,One year,DSL,Mailed check,Stayed,2-4 Years
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,36.05,1,0.0364630811303555,36.05,0,0,Male,Month-to-month,DSL,Mailed check,Churned,0-6 Months (High Risk)
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,40.016304347826086,3,1.039260969976905,40.016304347826086,0,0,Male,One year,DSL,Bank transfer,Stayed,2-4 Years
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,50.55,1,0.0278940027894002,50.55,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,0-6 Months (High Risk)
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,91.16666666666669,1,0.0794833581718827,91.16666666666669,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,6-12 Months
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,84.75652173913043,2,0.244173140954495,84.75652173913043,0,0,Male,Month-to-month,Fiber optic,Credit card,Stayed,1-2 Years
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,27.44545454545454,1,0.3252032520325203,27.44545454545454,0,0,Female,Month-to-month,DSL,Mailed check,Stayed,6-12 Months
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,105.03620689655172,3,0.2646502835538752,105.03620689655172,0,0,Female,Month-to-month,Fiber optic,Electronic check,Churned,2-4 Years
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,55.364285714285714,4,1.084864391951006,55.364285714285714,0,0,Male,One year,DSL,Bank transfer,Stayed,4+ Years
